CustomerID,Age,Gender,TenureMonths,ContractType,InternetService,TechSupport,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,SupportTickets,SatisfactionScore,Churn
CUST-1000,56,Female,18,Two year,No,No internet service,Mailed check,Yes,22.42,399.3,1,3,0
CUST-1001,69,Male,19,Two year,DSL,No,Mailed check,Yes,72.9,1396.4,1,1,0
CUST-1002,46,Female,36,Month-to-month,DSL,No,Electronic check,No,74.44,2648.88,1,2,0
CUST-1003,32,Female,55,Two year,DSL,No,Bank transfer,Yes,72.19,3981.76,0,2,0
CUST-1004,60,Male,69,Month-to-month,Fiber optic,Yes,Credit card,No,96.85,6686.22,1,5,1
CUST-1005,25,Female,47,Month-to-month,Fiber optic,Yes,Electronic check,No,126.16,,1,5,0
CUST-1006,38,Male,49,Month-to-month,DSL,Yes,Bank transfer,Yes,71.47,3480.53,3,4,0
CUST-1007,56,Female,33,Month-to-month,No,No internet service,Bank transfer,Yes,20.07,664.13,2,3,0
CUST-1008,75,Female,21,Month-to-month,No,No internet service,Mailed check,No,23.54,515.45,0,2,1
CUST-1009,36,Female,22,One year,Fiber optic,No,Bank transfer,Yes,86.61,1902.0,1,3,1
CUST-1010,40,Male,48,Month-to-month,DSL,No,Mailed check,Yes,65.88,3149.45,2,4,0
CUST-1011,28,Female,37,One year,Fiber optic,Yes,Mailed check,Yes,104.85,3882.32,2,5,0
CUST-1012,28,Female,2,Two year,No,No internet service,Electronic check,No,230.5,14500.0,9,2,1
CUST-1013,41,Male,35,Month-to-month,No,No internet service,Bank transfer,No,24.91,878.32,1,1,0
CUST-1014,70,Male,71,Month-to-month,DSL,No,Bank transfer,No,72.38,5147.07,2,4,0
CUST-1015,53,Female,32,Month-to-month,No,No internet service,Electronic check,No,25.3,827.94,4,4,0
CUST-1016,57,Male,11,Month-to-month,DSL,No,Mailed check,No,63.68,707.57,0,4,0
CUST-1017,41,Male,10,Month-to-month,DSL,Yes,Credit card,No,79.39,782.19,0,4,1
CUST-1018,20,Female,57,Month-to-month,Fiber optic,No,Mailed check,Yes,116.7,6625.73,1,5,1
CUST-1019,39,Male,25,Month-to-month,DSL,No,Mailed check,Yes,57.4,1421.18,3,3,0
CUST-1020,70,Female,2,Two year,DSL,No,Credit card,No,65.64,114.71,0,5,1
CUST-1021,19,Male,64,One year,DSL,Yes,Bank transfer,No,68.69,4406.05,0,5,0
CUST-1022,41,Female,35,Month-to-month,Fiber optic,No,Bank transfer,No,86.65,3044.73,1,4,1
CUST-1023,61,Male,7,One year,No,No internet service,Credit card,Yes,25.35,180.08,0,3,0
CUST-1024,47,Female,18,Month-to-month,Fiber optic,Yes,Credit card,No,123.2,2198.57,1,2,1
CUST-1025,55,Male,67,Month-to-month,DSL,No,Mailed check,No,58.26,3930.22,2,3,0
CUST-1026,19,Female,42,One year,DSL,No,Mailed check,Yes,71.25,2986.26,2,3,0
CUST-1027,38,Male,39,Month-to-month,DSL,No,Mailed check,Yes,72.07,2819.78,2,5,0
CUST-1028,50,Female,41,Month-to-month,DSL,No,Credit card,Yes,73.29,3005.63,2,1,1
CUST-1029,29,Female,24,Two year,Fiber optic,No,Bank transfer,Yes,94.28,2265.85,0,2,0
CUST-1030,75,Female,60,Two year,Fiber optic,No,Electronic check,Yes,116.64,7006.92,1,4,0
CUST-1031,39,Female,46,One year,DSL,Yes,Credit card,Yes,69.41,3182.42,0,1,0
CUST-1032,61,Male,19,One year,DSL,No,Mailed check,Yes,66.05,1274.53,2,3,1
CUST-1033,42,Female,68,One year,Fiber optic,Yes,Electronic check,No,94.77,6420.67,2,3,1
CUST-1034,66,Male,42,Month-to-month,DSL,No,Mailed check,No,55.88,2331.38,2,4,0
CUST-1035,44,Male,32,Month-to-month,DSL,No,Mailed check,No,69.41,2240.51,1,2,0
CUST-1036,59,Male,39,Month-to-month,DSL,No,Credit card,Yes,63.89,2500.56,3,5,0
CUST-1037,45,Female,36,Month-to-month,No,No internet service,Electronic check,Yes,22.05,831.91,2,3,0
CUST-1038,33,Female,36,Month-to-month,Fiber optic,No,Credit card,No,91.66,3300.79,2,5,1
CUST-1039,32,Male,3,Month-to-month,Fiber optic,No,Mailed check,Yes,108.45,350.86,3,3,1
CUST-1040,64,Female,8,Two year,DSL,Yes,Electronic check,No,63.01,476.22,2,2,1
CUST-1041,68,Male,70,Two year,DSL,No,Credit card,No,71.12,4957.2,0,2,0
CUST-1042,61,Male,41,One year,DSL,No,Mailed check,Yes,56.58,,1,1,0
CUST-1043,72,Male,68,Month-to-month,No,No internet service,Electronic check,No,21.53,1437.93,1,3,0
CUST-1044,69,Male,13,Two year,No,No internet service,Mailed check,Yes,23.09,297.21,1,1,1
CUST-1045,74,Male,49,Month-to-month,No,No internet service,Credit card,Yes,23.88,1187.63,0,3,0
CUST-1046,20,Female,60,One year,DSL,Yes,Electronic check,No,70.1,4213.52,0,3,0
CUST-1047,54,Female,2,Month-to-month,DSL,Yes,Electronic check,Yes,69.41,138.99,0,2,0
CUST-1048,68,Male,60,One year,Fiber optic,No,Electronic check,No,118.74,7117.66,2,2,0
CUST-1049,24,Male,5,Month-to-month,Fiber optic,No,Electronic check,Yes,107.46,540.33,5,4,1
CUST-1050,38,Male,44,Two year,DSL,No,Bank transfer,Yes,55.47,2449.34,2,5,0
CUST-1051,26,Female,27,Two year,Fiber optic,No,Mailed check,Yes,100.06,2691.71,1,1,0
CUST-1052,56,Male,32,Month-to-month,No,No internet service,Electronic check,No,27.0,869.58,2,2,1
CUST-1053,35,Female,21,Month-to-month,DSL,Yes,Electronic check,Yes,69.03,1465.81,1,5,0
CUST-1054,21,Female,8,Two year,DSL,Yes,Electronic check,Yes,64.89,515.78,3,1,0
CUST-1055,42,Female,72,Month-to-month,Fiber optic,No,Credit card,No,111.54,8031.9,0,5,0
CUST-1056,31,Female,50,Two year,Fiber optic,No,Mailed check,Yes,106.21,5317.76,0,1,1
CUST-1057,67,Male,67,One year,Fiber optic,No,Credit card,No,104.96,7040.59,0,5,0
CUST-1058,75,Female,44,Month-to-month,Fiber optic,Yes,Mailed check,Yes,94.88,4187.9,1,3,1
CUST-1059,26,Female,58,Month-to-month,Fiber optic,No,Electronic check,No,89.92,5200.14,2,5,0
CUST-1060,43,Female,3,Month-to-month,DSL,No,Credit card,No,67.45,194.42,0,3,0
CUST-1061,70,Male,70,One year,No,No internet service,Mailed check,Yes,21.66,1508.82,1,4,1
CUST-1062,19,Male,2,Month-to-month,No,No internet service,Bank transfer,Yes,24.03,34.5,0,1,1
